,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,758","2,220","2,657","2,637","2,801","3,415","4,195","4,438","4,848"
Expenses +,"1,657","2,060","2,529","2,514","2,588","3,367","4,031","4,242","4,578"
Operating Profit,102,160,128,123,213,49,164,196,270
OPM %,6%,7%,5%,5%,8%,1%,4%,4%,6%
Other Income +,13,16,32,14,22,28,23,32,35
Interest,6,7,8,18,34,35,33,31,24
Depreciation,44,54,58,92,102,115,122,124,130
Profit before tax,65,115,94,27,99,-74,32,73,152
Tax %,20%,31%,24%,4%,35%,-35%,54%,31%,
Net Profit +,52,79,71,26,64,-48,15,50,112
EPS in Rs,13.15,19.98,18.00,6.76,15.82,-11.89,3.69,12.43,27.64
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
