,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,516,600,709,"1,483","1,656","1,831","2,080"
Expenses +,438,495,586,"1,299","1,433","1,581","1,815"
Operating Profit,78,105,124,184,223,250,265
OPM %,15%,17%,17%,12%,13%,14%,13%
Other Income +,1,4,9,13,6,8,5
Interest,3,4,3,13,22,19,18
Depreciation,12,17,23,48,63,60,67
Profit before tax,63,88,107,136,144,178,185
Tax %,28%,26%,25%,28%,26%,26%,26%
Net Profit +,46,65,80,98,107,131,136
EPS in Rs,103.82,12.86,15.45,17.74,19.45,23.66,24.63
Dividend Payout %,0%,4%,3%,3%,3%,2%,2%
