,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,804,714,615,732,876,825,721,751,888,696,544,643,825
Expenses +,651,612,583,642,737,726,634,636,740,600,500,585,722
Operating Profit,153,102,33,90,139,99,87,115,148,96,44,58,103
OPM %,19%,14%,5%,12%,16%,12%,12%,15%,17%,14%,8%,9%,12%
Other Income +,2,1,5,1,5,4,2,2,8,6,4,3,8
Interest,5,8,11,10,10,10,9,8,8,6,6,6,6
Depreciation,37,36,37,37,36,37,37,38,38,39,39,38,37
Profit before tax,114,59,-10,45,98,57,42,72,110,58,3,17,68
Tax %,36%,37%,-6%,38%,31%,35%,42%,37%,38%,37%,26%,39%,38%
Net Profit +,73,37,-10,28,67,37,25,45,68,37,2,10,42
EPS in Rs,3.57,1.83,-0.46,1.34,3.29,1.81,1.20,2.20,3.33,1.79,0.11,0.49,2.05
Raw PDF,,,,,,,,,,,,,
