,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,99,40,8,39,97,24,91,102,86,37,18,20
Expenses +,44,33,24,37,69,32,71,87,84,53,35,42
Operating Profit,55,7,-16,1,28,-8,20,15,2,-16,-17,-22
OPM %,55%,17%,-207%,3%,29%,-33%,22%,15%,3%,-43%,-99%,-108%
Other Income +,1,3,2,4,4,15,7,5,6,6,5,4
Interest,0,1,1,3,2,1,0,0,0,1,0,0
Depreciation,3,3,3,3,5,5,6,6,7,7,7,8
Profit before tax,53,6,-18,-0,25,1,20,14,2,-18,-20,-26
Tax %,22%,38%,-57%,"1,029%",25%,33%,27%,27%,25%,-24%,18%,0%
Net Profit +,41,4,-8,-5,19,1,15,10,1,-14,-24,-26
EPS in Rs,"4,552.98",438.19,-3.73,-2.54,4.95,0.21,3.45,2.41,0.27,-3.19,-5.58,-5.97
Raw PDF,,,,,,,,,,,,
