,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,507,586,628,509,609,749,725,571,724,804,895,639,875
Expenses +,427,519,569,369,511,653,602,482,610,671,689,581,660
Operating Profit,80,67,59,140,98,97,122,89,114,133,206,58,214
OPM %,16%,11%,9%,28%,16%,13%,17%,16%,16%,17%,23%,9%,24%
Other Income +,-1,1,10,1,3,16,3,12,6,2,17,5,19
Interest,3,2,1,3,7,5,6,4,7,7,6,5,8
Depreciation,24,12,12,13,20,15,16,17,28,19,19,20,36
Profit before tax,53,55,56,126,74,93,104,81,86,109,197,39,190
Tax %,23%,37%,8%,22%,31%,26%,36%,15%,20%,37%,30%,21%,19%
Net Profit +,40,35,52,98,51,69,66,68,68,69,139,31,154
EPS in Rs,2.81,2.42,3.62,6.87,3.57,4.81,4.62,4.78,4.77,4.80,9.70,2.16,10.73
Raw PDF,,,,,,,,,,,,,
