,Dec 2012,Dec 2013,"Mar 2015
            
              15m",Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,198","1,157","1,578","1,329","1,279","1,325","1,342","1,085","1,107","1,343","1,634","1,696","1,769"
Expenses +,"1,092","1,012","1,390","1,152","1,064","1,097","1,115",953,979,"1,177","1,423","1,453","1,510"
Operating Profit,106,145,189,178,215,228,227,132,128,166,211,243,260
OPM %,9%,13%,12%,13%,17%,17%,17%,12%,12%,12%,13%,14%,15%
Other Income +,0,5,18,18,11,11,14,11,-33,7,18,28,41
Interest,27,25,33,26,17,7,6,4,3,5,5,6,5
Depreciation,65,69,93,78,79,77,86,93,84,87,84,85,87
Profit before tax,14,56,79,91,130,155,149,47,8,81,141,181,209
Tax %,87%,36%,36%,40%,36%,38%,36%,17%,37%,27%,24%,26%,
Net Profit +,2,36,51,55,84,96,96,39,5,59,107,133,152
EPS in Rs,-1.21,4.88,7.10,8.56,15.05,15.88,15.71,5.84,0.10,9.71,18.13,22.81,25.70
Dividend Payout %,-58%,143%,123%,65%,0%,0%,0%,0%,0%,0%,0%,0%,
