,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,104,129,135,131,118,148,154,154,127,165,172,173,143
Expenses +,90,101,105,101,103,116,116,116,106,126,126,124,118
Operating Profit,14,28,30,29,16,32,37,38,21,39,46,49,25
OPM %,13%,22%,22%,22%,13%,22%,24%,25%,16%,24%,27%,28%,18%
Other Income +,1,1,1,1,2,2,2,2,2,2,-25,3,115
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,4,4,4,4,4,4,4,4,4,5,5,5,5
Profit before tax,11,25,27,26,14,30,35,36,18,36,15,47,135
Tax %,31%,28%,26%,26%,25%,26%,26%,26%,25%,26%,72%,26%,13%
Net Profit +,8,18,20,19,10,22,26,26,13,27,4,35,117
EPS in Rs,4.55,11.01,12.07,11.55,6.26,13.36,15.64,16.00,8.01,16.18,2.54,21.12,70.95
Raw PDF,,,,,,,,,,,,,
