,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,285","1,434","1,179","1,537","2,051","1,880","1,449","1,329","2,732","3,498","2,463","2,851"
Expenses +,668,909,890,"1,119","1,583","1,324","1,323","1,335","2,011","2,161","1,837","2,213"
Operating Profit,617,525,289,418,468,556,126,-6,721,"1,337",626,637
OPM %,48%,37%,24%,27%,23%,30%,9%,-0%,26%,38%,25%,22%
Other Income +,137,253,156,181,121,-70,173,-241,158,396,273,355
Interest,0,2,1,1,2,2,2,2,3,2,3,2
Depreciation,125,138,131,151,119,96,92,94,98,81,79,95
Profit before tax,630,637,313,447,469,388,205,-343,778,"1,649",818,895
Tax %,30%,21%,30%,27%,26%,43%,28%,-90%,43%,27%,25%,23%
Net Profit +,439,501,219,325,347,220,146,-36,446,"1,204",617,686
EPS in Rs,13.81,15.75,6.89,10.22,10.90,6.91,4.61,-1.12,14.02,37.88,19.41,21.57
Dividend Payout %,22%,19%,44%,29%,32%,29%,43%,-18%,31%,30%,49%,47%
