,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,742,740,808,754,829,783,776,803,834,743,822,854,894
Expenses +,692,671,742,678,732,709,714,731,753,686,744,791,809
Operating Profit,50,69,66,76,97,74,62,73,81,56,77,63,85
OPM %,7%,9%,8%,10%,12%,10%,8%,9%,10%,8%,9%,7%,10%
Other Income +,10,4,4,5,6,6,9,4,4,6,5,6,3
Interest,8,8,9,9,10,9,9,10,9,9,10,11,11
Depreciation,27,27,28,29,29,28,29,29,29,29,30,30,31
Profit before tax,26,37,32,43,64,42,32,38,48,24,43,28,46
Tax %,24%,23%,25%,23%,25%,23%,22%,23%,26%,23%,24%,23%,26%
Net Profit +,20,29,24,33,48,32,25,29,36,18,33,22,34
EPS in Rs,13.40,19.21,16.02,22.23,32.31,21.73,16.76,19.63,23.80,12.25,21.80,14.40,22.87
Raw PDF,,,,,,,,,,,,,
