,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Revenue +,"9,339","10,812","12,491","14,092","14,876","17,398","19,740","19,886","19,978","22,717","27,277","28,110"
Interest,"7,174","8,310","9,307","10,231","11,144","12,891","14,781","14,450","14,151","16,135","18,385","19,528"
Expenses +,357,390,611,887,940,"1,104","1,592","2,012","3,012","2,964","2,759","1,609"
Financing Profit,"1,808","2,112","2,573","2,974","2,792","3,404","3,367","3,423","2,815","3,618","6,133","6,973"
Financing Margin %,19%,20%,21%,21%,19%,20%,17%,17%,14%,16%,22%,25%
Other Income +,34,17,12,9,0,0,-33,-5,27,11,0,4
Depreciation,8,10,10,10,10,12,51,52,55,69,69,98
Profit before tax,"1,834","2,119","2,575","2,973","2,782","3,392","3,282","3,365","2,787","3,561","6,064","6,879"
Tax %,28%,34%,35%,35%,28%,28%,27%,19%,18%,19%,22%,21%
Net Profit +,"1,319","1,396","1,668","1,942","2,008","2,434","2,404","2,741","2,286","2,891","4,760","5,443"
EPS in Rs,26.12,27.65,33.05,38.49,39.79,48.23,47.62,54.31,41.55,52.55,86.52,98.94
Dividend Payout %,17%,18%,17%,16%,17%,16%,17%,16%,20%,16%,10%,10%
