,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,337",651,930,"1,456","1,752","1,481","1,125","1,609","1,563","1,998","2,526","2,220","1,720"
Expenses +,"1,052",503,802,"1,251","1,404","1,270",943,"1,378","1,352","1,780","2,221","1,914","1,511"
Operating Profit,285,148,128,204,348,211,182,231,211,218,304,306,209
OPM %,21%,23%,14%,14%,20%,14%,16%,14%,13%,11%,12%,14%,12%
Other Income +,-6,-2,16,3,6,5,8,4,9,3,39,7,7
Interest,45,62,93,116,97,34,30,44,39,32,49,32,20
Depreciation,60,52,51,62,69,70,67,65,66,68,74,58,57
Profit before tax,174,32,0,30,187,112,93,126,115,122,220,224,139
Tax %,18%,11%,-209%,-7%,22%,22%,18%,24%,20%,34%,35%,32%,
Net Profit +,142,29,1,32,145,87,76,96,92,80,143,152,91
EPS in Rs,124.56,25.08,0.90,27.73,115.77,69.59,60.56,76.27,73.48,63.78,114.35,121.45,72.85
Dividend Payout %,10%,50%,278%,27%,11%,14%,17%,13%,14%,16%,11%,10%,
