,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,139,171,139,138,146,142,164,188,191,201,207,203,204
Expenses +,111,138,117,113,119,116,131,153,156,165,170,174,169
Operating Profit,28,34,22,25,26,26,33,35,35,36,37,29,35
OPM %,20%,20%,16%,18%,18%,18%,20%,19%,18%,18%,18%,14%,17%
Other Income +,2,0,0,0,1,1,1,1,2,1,2,4,2
Interest,3,3,4,4,4,5,5,6,6,6,6,6,5
Depreciation,5,6,6,7,7,7,8,8,9,9,10,9,8
Profit before tax,22,25,13,14,16,16,22,22,21,23,24,18,24
Tax %,25%,25%,26%,15%,23%,25%,28%,31%,26%,30%,27%,31%,20%
Net Profit +,17,19,9,12,12,12,16,15,16,16,17,13,19
EPS in Rs,6.13,6.98,3.46,4.50,4.64,4.32,5.76,5.72,5.79,5.91,5.91,4.40,6.54
Raw PDF,,,,,,,,,,,,,
