,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,753,622,511,739,658,706,567,752,788,755,660,817,862
Expenses +,673,583,499,684,612,662,546,703,757,715,624,756,795
Operating Profit,81,38,12,55,46,44,21,49,31,40,36,61,67
OPM %,11%,6%,2%,7%,7%,6%,4%,7%,4%,5%,5%,7%,8%
Other Income +,3,5,6,9,6,3,22,4,5,2,4,2,3
Interest,6,5,5,6,6,6,5,5,7,6,6,6,6
Depreciation,12,13,13,14,14,14,14,15,15,18,20,20,22
Profit before tax,65,25,0,44,33,27,23,33,13,19,14,37,42
Tax %,25%,25%,315%,25%,25%,26%,21%,26%,5%,26%,27%,26%,26%
Net Profit +,49,19,-0,33,25,20,18,24,13,14,10,27,31
EPS in Rs,2.30,0.89,-0.01,1.53,1.16,0.92,0.86,1.14,0.60,0.67,0.49,1.27,1.47
Raw PDF,,,,,,,,,,,,,
