,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,416","1,262","1,475","1,509","1,406","1,486","1,595","1,631","1,517","1,562","1,648","1,693","1,770"
Expenses +,"1,268","1,255","1,244","1,274","1,203","1,287","1,387","1,364","1,257","1,325","1,409","1,433","1,498"
Operating Profit,148,7,231,235,204,199,208,266,260,237,239,260,271
OPM %,10%,1%,16%,16%,14%,13%,13%,16%,17%,15%,15%,15%,15%
Other Income +,10,1,0,0,1,12,10,3,4,2,30,10,14
Interest,7,9,12,15,14,14,16,15,11,13,19,22,25
Depreciation,123,67,68,67,74,66,68,69,69,69,71,70,69
Profit before tax,29,-67,151,154,116,130,135,185,183,157,180,178,192
Tax %,24%,-2%,12%,21%,-31%,7%,-1%,2%,3%,14%,15%,23%,18%
Net Profit +,22,-66,133,122,153,121,137,180,178,135,153,138,157
EPS in Rs,1.12,-3.35,6.78,6.20,7.76,6.14,6.95,9.18,9.07,6.85,7.80,7.04,7.98
Raw PDF,,,,,,,,,,,,,
