,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,159,174,178,230,208,230,235,281,253,273,297,370,311
Expenses +,138,147,152,194,182,196,198,237,217,230,255,313,265
Operating Profit,21,27,26,36,26,34,37,45,36,43,42,57,46
OPM %,13%,16%,15%,16%,12%,15%,16%,16%,14%,16%,14%,15%,15%
Other Income +,2,2,4,4,5,5,4,6,9,6,6,6,6
Interest,5,4,3,3,3,4,4,4,4,5,5,5,5
Depreciation,8,8,8,9,9,11,13,13,13,14,15,17,17
Profit before tax,10,17,18,28,18,24,25,34,28,31,29,41,30
Tax %,25%,25%,25%,25%,25%,25%,25%,26%,24%,26%,26%,27%,25%
Net Profit +,8,13,14,21,13,18,19,26,21,23,21,29,23
EPS in Rs,4.11,5.48,5.81,8.85,5.69,7.78,7.96,10.42,8.59,9.31,8.68,12.05,9.29
Raw PDF,,,,,,,,,,,,,
