,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,316,269,306,355,497,607,"1,005","1,078",863,"1,428","2,205","2,698","2,852"
Expenses +,275,231,274,320,456,536,878,951,742,"1,242","1,988","2,339","2,507"
Operating Profit,41,37,32,35,41,71,126,127,121,186,216,359,344
OPM %,13%,14%,11%,10%,8%,12%,13%,12%,14%,13%,10%,13%,12%
Other Income +,2,2,-14,1,2,3,5,6,3,6,10,17,41
Interest,15,13,12,11,12,12,11,12,9,9,27,74,84
Depreciation,25,22,29,23,24,24,30,51,52,67,84,160,199
Profit before tax,4,3,-22,2,7,38,90,69,63,116,115,143,102
Tax %,37%,36%,3%,44%,30%,29%,29%,24%,25%,25%,27%,26%,
Net Profit +,2,2,-23,1,5,27,67,52,49,90,84,105,77
EPS in Rs,0.08,0.08,-0.89,0.04,0.19,1.04,2.44,1.91,1.74,3.16,2.85,3.19,2.21
Dividend Payout %,0%,0%,0%,0%,0%,5%,4%,0%,0%,3%,4%,3%,
