,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,341,318,263,206,141,120,365,169,25,219,698,357,632
Expenses +,337,277,247,265,224,358,466,405,134,317,"1,413",208,782
Operating Profit,4,41,17,-59,-83,-238,-101,-235,-109,-98,-715,150,-150
OPM %,1%,13%,6%,-29%,-59%,-199%,-28%,-139%,-444%,-45%,-102%,42%,-24%
Other Income +,21,27,29,140,142,74,-34,97,282,527,709,"1,331",97
Interest,18,38,53,86,96,119,160,261,334,286,54,83,99
Depreciation,14,8,14,14,11,6,2,1,1,1,0,26,52
Profit before tax,-7,22,-21,-19,-47,-289,-296,-401,-162,142,-61,"1,372",-204
Tax %,-89%,27%,-112%,19%,57%,4%,-17%,10%,3%,85%,49%,4%,
Net Profit +,-2,13,8,-23,-74,-301,-247,-440,-167,22,-90,"1,317",-130
EPS in Rs,0.14,0.47,0.02,-0.76,-2.45,-10.30,-10.90,-17.20,-6.98,1.04,-2.57,24.53,-2.41
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
