,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,159,193,170,183,180,202,186,184,181,208,198,205,190
Expenses +,154,189,166,174,165,192,176,179,169,201,190,197,178
Operating Profit,5,4,4,8,15,10,10,5,12,7,8,8,12
OPM %,3%,2%,2%,5%,8%,5%,5%,3%,7%,3%,4%,4%,6%
Other Income +,12,606,13,12,12,15,16,16,16,37,18,18,13
Interest,1,3,1,1,1,1,1,0,1,1,1,1,1
Depreciation,3,3,3,3,3,3,3,3,3,2,2,2,2
Profit before tax,12,604,13,16,23,21,22,18,24,41,23,23,22
Tax %,13%,1%,23%,26%,27%,24%,26%,27%,25%,23%,26%,26%,26%
Net Profit +,11,601,10,12,17,16,16,13,18,32,17,17,16
EPS in Rs,7.52,425.23,7.01,8.49,11.99,11.09,11.33,9.12,12.93,22.35,12.17,11.84,11.43
Raw PDF,,,,,,,,,,,,,
