,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016
Sales +,281,292,309,314,310,442,545,522,528,526,572,557,523
Expenses +,254,260,278,287,281,388,482,472,463,446,513,502,469
Operating Profit,27,32,32,27,29,54,63,50,65,79,59,56,53
OPM %,10%,11%,10%,9%,9%,12%,12%,10%,12%,15%,10%,10%,10%
Other Income +,8,3,5,2,6,3,3,5,3,4,4,4,5
Interest,1,1,1,1,1,9,11,11,10,10,8,8,8
Depreciation,11,11,11,11,11,20,24,24,23,23,23,23,22
Profit before tax,23,22,25,18,23,29,31,21,35,50,33,29,28
Tax %,26%,23%,22%,23%,20%,26%,33%,22%,41%,30%,39%,40%,43%
Net Profit +,17,17,19,14,18,21,21,16,20,35,20,18,16
EPS in Rs,2.66,2.70,2.98,1.82,2.45,2.82,2.74,2.20,2.83,4.71,2.51,2.31,2.10
Raw PDF,,,,,,,,,,,,,
