,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,642,808,670,554,619,689,775,904,926,969,961,975,863
Expenses +,563,746,602,487,523,589,679,802,822,843,845,852,717
Operating Profit,80,63,68,67,96,100,96,102,105,126,116,124,146
OPM %,12%,8%,10%,12%,16%,15%,12%,11%,11%,13%,12%,13%,17%
Other Income +,-9,16,9,35,6,12,12,9,10,14,15,19,13
Interest,18,22,24,27,26,28,29,31,33,36,40,44,45
Depreciation,21,21,21,21,30,21,28,26,26,28,28,27,33
Profit before tax,32,35,31,53,46,64,50,54,56,76,63,71,82
Tax %,-111%,20%,25%,6%,13%,20%,24%,23%,24%,20%,22%,20%,22%
Net Profit +,67,28,24,50,40,51,38,42,42,60,50,57,64
EPS in Rs,21.67,9.37,8.08,9.93,13.02,16.52,12.28,13.45,13.63,19.50,16.06,18.35,20.68
Raw PDF,,,,,,,,,,,,,
