,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,609,811,914,"1,087","1,450","1,347","1,497","1,878","2,231","2,506","2,500"
Expenses +,689,847,937,"1,012","1,317","1,271","1,138","1,403","1,793","1,964","1,973"
Operating Profit,-80,-36,-23,75,132,75,360,475,439,542,527
OPM %,-13%,-4%,-3%,7%,9%,6%,24%,25%,20%,22%,21%
Other Income +,18,27,41,32,66,38,20,43,53,49,77
Interest,1,2,13,17,16,22,13,7,6,6,4
Depreciation,19,21,24,27,42,69,77,98,122,137,156
Profit before tax,-82,-33,-20,64,140,23,290,413,363,449,444
Tax %,2%,-28%,15%,11%,6%,22%,9%,15%,26%,28%,25%
Net Profit +,-83,-23,-22,57,131,18,265,350,269,323,334
EPS in Rs,-6.75,-1.90,-1.79,3.72,9.97,1.21,19.76,25.94,19.69,23.47,23.97
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,10%,13%,15%,29%
