,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,167,249,334,517,"1,082","1,434","1,843","2,266"
Expenses +,122,179,246,387,869,"1,146","1,483","1,783"
Operating Profit,46,70,88,130,213,288,360,483
OPM %,27%,28%,26%,25%,20%,20%,20%,21%
Other Income +,0,0,6,41,72,54,57,94
Interest,1,1,1,4,7,11,19,13
Depreciation,8,10,13,20,32,49,72,97
Profit before tax,37,60,79,148,245,282,327,468
Tax %,24%,18%,17%,9%,12%,13%,9%,18%
Net Profit +,28,49,66,135,215,245,297,382
EPS in Rs,2.29,4.02,5.14,10.57,16.05,18.36,21.20,27.18
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%
