,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,96,89,91,188,98,87,104,225,108,"1,212",134,279,126
Expenses +,31,33,37,37,37,32,36,33,36,35,61,46,31
Operating Profit,64,57,54,151,62,55,68,192,72,"1,177",73,233,96
OPM %,67%,64%,60%,81%,63%,63%,66%,85%,67%,97%,54%,83%,76%
Other Income +,"1,004","1,074",938,"1,214","1,252","1,326","1,375","1,479","1,602","1,563","1,554","1,335","1,694"
Interest,1,1,1,1,1,5,1,1,1,1,0,0,0
Depreciation,8,8,8,8,8,8,8,8,8,8,8,8,8
Profit before tax,"1,059","1,122",984,"1,356","1,305","1,368","1,434","1,662","1,665","2,731","1,618","1,559","1,781"
Tax %,2%,1%,1%,1%,1%,1%,1%,4%,1%,1%,0%,3%,2%
Net Profit +,"1,042","1,106",970,"1,336","1,287","1,353","1,416","1,588","1,645","2,716","1,615","1,510","1,750"
EPS in Rs,93.46,99.32,87.10,111.67,115.52,121.55,127.19,133.98,147.76,244.05,144.70,129.06,157.09
Raw PDF,,,,,,,,,,,,,
