,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Revenue +,6,2,4,2,4,44,105,153,312,684,"1,082","1,396"
Interest,0,0,0,0,0,1,14,45,137,293,443,628
Expenses +,1,1,0,0,0,36,81,85,142,289,425,565
Financing Profit,5,2,3,2,3,7,11,24,33,101,214,204
Financing Margin %,86%,76%,92%,86%,91%,16%,10%,16%,10%,15%,20%,15%
Other Income +,0,0,0,0,0,-4,0,0,0,0,0,46
Depreciation,0,0,0,0,0,2,7,12,12,18,35,46
Profit before tax,5,2,3,2,3,2,3,12,20,84,179,203
Tax %,30%,7%,14%,2%,8%,-155%,-488%,-137%,28%,53%,33%,29%
Net Profit +,4,2,3,2,3,4,20,29,15,40,119,144
EPS in Rs,8.05,3.55,6.36,4.19,6.34,1.69,2.77,4.07,2.06,5.64,12.86,15.45
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
