,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,182","1,348","1,588","1,641","1,818","2,024","2,280","2,317","2,130","3,027","3,647","3,886","4,390"
Expenses +,"1,058","1,188","1,333","1,351","1,506","1,692","1,975","2,037","1,795","2,495","3,064","3,365","3,901"
Operating Profit,123,159,256,290,313,332,305,280,336,532,583,521,489
OPM %,10%,12%,16%,18%,17%,16%,13%,12%,16%,18%,16%,13%,11%
Other Income +,7,3,18,6,22,7,3,13,6,21,23,44,3
Interest,40,60,46,48,30,36,47,39,13,11,17,31,60
Depreciation,28,39,48,47,59,91,59,76,69,74,78,95,127
Profit before tax,62,63,180,200,245,212,202,177,260,468,512,439,305
Tax %,7%,-1%,16%,15%,21%,22%,26%,29%,26%,33%,26%,26%,
Net Profit +,58,63,150,170,193,166,149,125,191,313,377,325,211
EPS in Rs,2.48,2.71,6.70,7.60,8.57,7.34,6.68,6.78,8.62,14.09,16.93,14.69,9.56
Dividend Payout %,10%,37%,30%,13%,12%,14%,15%,15%,12%,11%,6%,7%,
