,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,337,408,350,328,208,194,314,384,257,350,437,729,689
Expenses +,264,368,280,293,320,160,202,215,189,220,310,486,469
Operating Profit,74,40,71,35,-112,33,112,169,68,130,127,243,220
OPM %,22%,10%,20%,11%,-54%,17%,36%,44%,26%,37%,29%,33%,32%
Other Income +,21,13,104,24,19,20,30,30,101,46,20,29,32
Interest,1,1,1,1,3,1,4,6,6,7,7,17,16
Depreciation,47,50,45,47,48,49,52,55,57,84,112,135,132
Profit before tax,46,2,128,11,-145,3,86,139,106,85,28,120,103
Tax %,13%,203%,5%,52%,3%,66%,4%,4%,7%,1%,-22%,-1%,
Net Profit +,40,-2,122,5,-149,1,82,133,99,84,34,121,100
EPS in Rs,11.92,-0.61,35.99,2.12,-58.55,0.39,32.19,52.41,38.76,32.73,12.98,47.08,39.06
Dividend Payout %,0%,0%,3%,0%,0%,0%,0%,2%,3%,0%,0%,2%,
