,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,363,206,219,347,351,269,434,608,702,"2,249","2,126","1,252","2,366"
Expenses +,223,191,193,291,308,266,335,434,477,"1,275","1,733",932,"1,689"
Operating Profit,140,15,26,57,42,3,99,174,225,974,392,320,676
OPM %,39%,7%,12%,16%,12%,1%,23%,29%,32%,43%,18%,26%,29%
Other Income +,4,12,23,17,4,23,10,13,18,35,59,83,99
Interest,2,1,2,0,2,0,7,5,6,38,28,20,55
Depreciation,14,19,19,18,10,9,12,12,13,56,64,58,81
Profit before tax,128,7,27,56,35,16,90,169,224,915,360,325,639
Tax %,35%,244%,14%,35%,20%,57%,33%,34%,34%,26%,25%,27%,
Net Profit +,83,-11,23,36,25,7,61,111,147,675,271,239,478
EPS in Rs,5.39,-0.49,1.58,2.34,1.62,0.47,3.80,7.01,9.30,41.67,16.72,14.78,29.48
Dividend Payout %,5%,0%,0%,7%,10%,36%,4%,6%,4%,1%,5%,68%,
