,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015
Sales +,146,146,155,157,163,173,190,200,212,191,206,221,231
Expenses +,123,133,135,140,141,160,158,157,165,153,164,171,184
Operating Profit,22,13,20,16,22,13,32,44,47,38,42,50,47
OPM %,15%,9%,13%,11%,14%,8%,17%,22%,22%,20%,20%,23%,20%
Other Income +,-2,-2,-10,4,-3,7,7,-1,0,2,1,0,-1
Interest,1,1,1,1,1,1,1,0,0,0,0,0,0
Depreciation,5,5,6,6,6,6,8,9,12,9,8,7,1
Profit before tax,14,5,3,13,13,14,30,33,35,31,35,43,45
Tax %,25%,29%,37%,31%,36%,36%,34%,34%,38%,33%,33%,36%,34%
Net Profit +,8,3,2,9,8,9,20,22,22,21,24,28,30
EPS in Rs,1.33,0.42,0.29,1.40,1.31,1.43,3.20,3.46,3.51,3.34,3.79,4.46,4.79
Raw PDF,,,,,,,,,,,,,
