,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,430","1,289","1,586","1,601","1,546","1,512","1,585","2,034","2,053","2,033","2,093","2,355","2,245"
Expenses +,"1,123","1,070","1,317","1,341","1,330","1,331","1,278","1,673","1,722","1,711","1,700","1,913","1,782"
Operating Profit,308,219,269,260,216,181,308,361,331,322,393,441,463
OPM %,22%,17%,17%,16%,14%,12%,19%,18%,16%,16%,19%,19%,21%
Other Income +,12,15,22,36,31,36,45,-1,91,-118,21,26,20
Interest,1,3,7,9,11,18,31,44,33,29,24,23,17
Depreciation,59,61,62,64,67,70,69,90,100,98,99,100,98
Profit before tax,260,170,223,223,169,129,252,225,289,77,290,345,368
Tax %,22%,17%,33%,35%,32%,37%,34%,39%,23%,96%,31%,29%,25%
Net Profit +,198,132,145,146,110,78,164,136,221,1,199,246,276
EPS in Rs,7.74,5.13,5.64,5.67,4.25,3.02,6.42,5.72,7.09,2.35,7.58,9.05,9.78
Raw PDF,,,,,,,,,,,,,
