,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,586,525,656,621,620,615,739,706,618,910,"1,151","1,214","1,329"
Expenses +,530,479,632,577,564,544,634,607,507,758,905,923,982
Operating Profit,55,46,23,44,56,71,106,99,111,152,246,290,347
OPM %,9%,9%,4%,7%,9%,12%,14%,14%,18%,17%,21%,24%,26%
Other Income +,62,62,90,47,71,74,34,36,13,13,19,27,26
Interest,1,1,2,0,1,0,0,3,2,3,2,2,1
Depreciation,5,8,12,10,12,13,11,18,14,14,16,18,17
Profit before tax,111,98,100,81,114,132,127,114,108,148,246,298,355
Tax %,30%,32%,34%,25%,32%,32%,36%,26%,33%,26%,26%,25%,
Net Profit +,78,67,66,61,77,89,81,85,72,110,183,222,264
EPS in Rs,24.69,21.21,20.95,19.27,24.48,28.16,25.64,26.80,22.92,34.89,57.86,70.45,83.55
Dividend Payout %,24%,28%,29%,31%,25%,739%,23%,104%,13%,57%,86%,99%,
