,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"1,334","1,129","1,226","1,309","1,292","1,112","1,113","1,228","1,188","1,155","1,118","1,290","1,265"
Expenses +,"1,271","1,056","1,130","1,204","1,197","1,045","1,038","1,171","1,138","1,080","1,067","1,202","1,172"
Operating Profit,63,73,96,106,95,68,75,58,50,75,52,87,93
OPM %,5%,6%,8%,8%,7%,6%,7%,5%,4%,7%,5%,7%,7%
Other Income +,17,7,18,10,20,20,6,43,22,11,15,13,38
Interest,11,7,10,15,12,12,14,20,18,16,17,19,18
Depreciation,18,17,19,17,22,23,27,30,30,32,35,36,41
Profit before tax,52,57,84,83,80,53,41,50,24,38,15,45,71
Tax %,26%,28%,26%,27%,35%,29%,33%,26%,-20%,27%,12%,27%,17%
Net Profit +,39,41,62,61,52,37,27,37,29,28,13,33,59
EPS in Rs,3.42,3.74,5.24,5.31,4.52,3.23,2.37,3.25,2.54,2.44,1.12,2.89,5.12
Raw PDF,,,,,,,,,,,,,
