,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,310","1,216","1,310","1,403","1,263","1,314","1,390","1,384","1,297","1,530","1,777","2,207","2,522"
Expenses +,"1,276","1,300","1,334","1,361","1,389","1,333","1,360","1,357","1,233","1,444","1,609","1,911","2,152"
Operating Profit,35,-84,-23,42,-126,-19,30,27,64,86,168,296,369
OPM %,3%,-7%,-2%,3%,-10%,-1%,2%,2%,5%,6%,9%,13%,15%
Other Income +,-5,8,70,9,19,25,15,13,6,7,27,5,39
Interest,32,26,38,43,42,44,44,48,48,48,53,69,69
Depreciation,26,23,25,26,27,27,26,22,22,17,19,22,25
Profit before tax,-28,-125,-17,-18,-176,-65,-24,-30,-1,28,124,210,315
Tax %,1%,0%,67%,0%,0%,0%,0%,0%,0%,0%,0%,18%,
Net Profit +,-28,-125,-29,-18,-176,-65,-24,-30,-1,28,124,172,217
EPS in Rs,-1.19,-5.22,-1.19,-0.76,-7.36,-2.70,-1.02,-1.24,-0.04,1.16,5.17,7.19,9.06
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
