,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,361.22,359.32,343.08,315.97,368.13,423.85,455.52,366.18,393.94,414.54,411.12,378.84,448.53
Expenses +,323.91,325.28,306.87,281.65,319.76,367.86,387.74,370.36,359.16,368.44,378.51,362.16,415.30
Operating Profit,37.31,34.04,36.21,34.32,48.37,55.99,67.78,-4.18,34.78,46.10,32.61,16.68,33.23
OPM %,10.33%,9.47%,10.55%,10.86%,13.14%,13.21%,14.88%,-1.14%,8.83%,11.12%,7.93%,4.40%,7.41%
Other Income +,5.35,0.49,2.56,2.34,7.76,3.45,3.94,4.16,7.22,6.93,3.91,2.89,3.68
Interest,0.55,1.31,1.58,1.26,0.69,2.54,2.43,2.72,3.35,2.62,3.44,3.53,4.16
Depreciation,14.77,13.06,13.26,13.38,15.85,15.61,15.51,15.70,17.45,17.08,17.70,18.00,19.96
Profit before tax,27.34,20.16,23.93,22.02,39.59,41.29,53.78,-18.44,21.20,33.33,15.38,-1.96,12.79
Tax %,24.29%,27.83%,18.72%,28.29%,25.69%,28.29%,29.34%,-108.24%,40.85%,26.04%,21.46%,11.22%,34.09%
Net Profit +,20.70,14.55,19.45,15.79,29.42,29.61,38.00,1.52,12.54,24.65,12.08,-2.18,8.43
EPS in Rs,5.74,4.04,5.40,4.38,8.16,8.22,10.54,0.42,3.48,6.84,3.35,-0.60,2.34
Raw PDF,,,,,,,,,,,,,
