,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,196,212,220,240,231,225,234,250,255,252,259,258,256
Expenses +,166,176,178,168,188,192,200,212,221,213,217,219,216
Operating Profit,30,37,42,72,43,33,34,38,34,39,42,39,40
OPM %,15%,17%,19%,30%,19%,15%,14%,15%,13%,15%,16%,15%,16%
Other Income +,6,1,1,13,4,2,2,11,2,2,13,3,5
Interest,1,0,0,1,0,1,1,1,1,1,1,1,1
Depreciation,5,7,7,7,7,8,8,8,9,9,10,12,8
Profit before tax,30,31,36,77,39,26,27,41,26,31,44,28,36
Tax %,28%,25%,33%,28%,26%,22%,24%,16%,40%,23%,20%,30%,32%
Net Profit +,22,23,24,55,29,20,21,34,16,24,35,20,24
EPS in Rs,21.20,22.39,23.38,54.00,28.34,13.01,13.22,21.93,10.12,15.40,22.87,12.75,15.52
Raw PDF,,,,,,,,,,,,,
