,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,522,976,"1,222","1,536","1,313","1,899","1,843","1,893","1,664","2,106","2,004","2,061","1,969"
Expenses +,530,940,"1,180","1,472","1,277","1,775","1,741","1,777","1,573","1,970","1,879","1,945","1,871"
Operating Profit,-8,36,42,64,36,124,103,116,91,136,125,116,98
OPM %,-1%,4%,3%,4%,3%,7%,6%,6%,5%,6%,6%,6%,5%
Other Income +,4,12,13,26,11,33,28,48,29,28,43,18,50
Interest,17,20,19,28,23,26,23,24,26,22,24,26,24
Depreciation,31,30,31,32,30,30,31,33,33,34,35,37,36
Profit before tax,-52,-2,5,30,-6,101,77,107,61,109,110,71,88
Tax %,-1%,153%,100%,12%,74%,28%,32%,16%,7%,33%,35%,35%,28%
Net Profit +,-50,-6,0,27,-10,71,51,91,58,73,72,47,66
EPS in Rs,-1.10,-0.12,0.02,0.39,-0.15,1.55,1.00,1.75,1.20,1.60,1.38,1.05,1.37
Raw PDF,,,,,,,,,,,,,
