,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"3,631","4,288","5,060","4,545","5,586","8,371","10,384","10,740","13,854","19,551"
Expenses +,"3,578","4,204","4,953","4,427","5,466","8,230","10,159","10,475","13,559","19,022"
Operating Profit,53,84,107,118,120,141,225,264,295,528
OPM %,1%,2%,2%,3%,2%,2%,2%,2%,2%,3%
Other Income +,17,21,11,10,13,17,17,17,32,34
Interest,40,53,70,84,84,62,56,78,118,183
Depreciation,15,21,28,30,23,30,29,29,32,54
Profit before tax,15,31,20,14,26,66,156,175,177,325
Tax %,36%,35%,23%,23%,27%,32%,21%,24%,23%,24%
Net Profit +,9,20,15,11,19,45,123,132,136,246
EPS in Rs,0.69,1.47,1.14,0.80,1.41,3.29,8.33,8.97,9.20,16.64
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
