,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"8,514","7,757","7,600","8,943","12,429","13,135","11,906","15,857","29,587","23,556","20,622"
Expenses +,"8,130","7,197","7,041","8,404","11,417","12,283","11,001","15,469","28,509","22,928","19,857"
Operating Profit,385,560,559,539,"1,012",852,904,388,"1,077",628,765
OPM %,5%,7%,7%,6%,8%,6%,8%,2%,4%,3%,4%
Other Income +,37,45,45,62,52,-331,33,26,195,185,182
Interest,304,231,193,192,320,409,294,137,308,277,265
Depreciation,73,87,85,73,285,374,312,335,353,362,370
Profit before tax,45,287,325,335,459,-263,331,-58,612,174,313
Tax %,41%,31%,36%,36%,36%,-31%,28%,63%,25%,14%,
Net Profit +,26,197,208,213,294,-181,237,-95,458,150,257
EPS in Rs,0.53,4.02,4.24,4.34,5.99,-3.69,4.83,-1.94,9.34,3.06,5.23
Dividend Payout %,32%,30%,0%,0%,31%,-26%,0%,0%,30%,9%,
