,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,201,221,228,242,243,263,273,291,287,323,322,327
Expenses +,151,166,183,191,190,202,211,228,223,248,246,248
Operating Profit,49,55,45,52,53,61,62,63,64,75,76,78
OPM %,25%,25%,20%,21%,22%,23%,23%,22%,22%,23%,24%,24%
Other Income +,2,3,2,1,4,3,8,10,8,9,7,7
Interest,10,10,11,11,12,12,1,1,1,1,3,6
Depreciation,9,10,10,10,11,11,11,10,11,14,14,18
Profit before tax,32,38,27,32,34,41,58,62,60,69,67,62
Tax %,5%,29%,101%,51%,-60%,19%,25%,27%,26%,25%,21%,28%
Net Profit +,30,27,-0,16,54,34,44,45,45,52,53,45
EPS in Rs,5.99,5.32,-0.07,2.79,9.55,5.14,6.66,6.87,6.80,7.86,7.99,6.84
Raw PDF,,,,,,,,,,,,
