,Mar 2012,Mar 2013,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,956,"1,076","2,841","4,079","4,887","4,588","3,069","3,105","1,914","2,817","2,489","2,369","2,422"
Expenses +,"1,019","1,088","2,564","3,564","4,317","3,919","2,446","2,349","1,568","2,090","2,080","1,832","1,932"
Operating Profit,-64,-12,277,515,569,669,623,756,346,727,409,537,490
OPM %,-7%,-1%,10%,13%,12%,15%,20%,24%,18%,26%,16%,23%,20%
Other Income +,463,464,439,385,300,173,136,88,95,78,155,362,339
Interest,1,1,5,5,4,4,5,5,5,5,6,4,3
Depreciation,50,42,67,53,62,63,82,96,95,90,77,67,67
Profit before tax,348,409,644,841,803,774,671,742,341,710,482,828,758
Tax %,33%,32%,31%,33%,35%,32%,37%,28%,24%,30%,27%,26%,
Net Profit +,235,279,444,562,524,528,423,535,258,500,352,613,566
EPS in Rs,"1,021.57","1,212.13","1,928.48","2,810.35","2,183.58",14.41,11.53,14.59,7.03,13.64,9.61,16.71,15.43
Dividend Payout %,20%,21%,19%,30%,30%,25%,30%,30%,52%,30%,49%,32%,
