,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,004","1,074","1,334","1,461","1,418","1,471","1,209",947,992,"1,133","1,176","1,188","1,148"
Expenses +,688,742,875,926,895,942,861,783,786,895,914,893,854
Operating Profit,315,331,459,536,523,529,348,164,206,238,262,295,294
OPM %,31%,31%,34%,37%,37%,36%,29%,17%,21%,21%,22%,25%,26%
Other Income +,32,27,26,24,21,19,15,13,13,18,9,9,14
Interest,20,13,21,23,38,35,28,34,37,34,37,42,42
Depreciation,52,52,55,57,60,64,66,68,72,81,85,90,91
Profit before tax,275,293,409,480,446,449,269,75,110,141,149,172,175
Tax %,27%,25%,26%,26%,26%,26%,25%,29%,27%,28%,28%,30%,28%
Net Profit +,201,218,303,357,331,332,201,53,80,101,108,121,126
EPS in Rs,18.63,20.17,27.88,32.88,29.99,30.21,18.30,4.82,7.28,9.19,9.83,11.02,11.47
Raw PDF,,,,,,,,,,,,,
