,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,174,212,211,259,241,295,262,275,304,367,294,281,375
Expenses +,157,196,194,238,217,265,238,250,266,331,266,256,343
Operating Profit,17,16,17,21,24,30,24,25,37,36,28,26,32
OPM %,10%,8%,8%,8%,10%,10%,9%,9%,12%,10%,10%,9%,8%
Other Income +,0,0,1,0,0,1,0,0,0,2,1,2,1
Interest,6,6,6,9,8,9,8,11,12,13,12,12,13
Depreciation,2,2,2,2,2,2,2,2,3,3,3,3,3
Profit before tax,10,9,10,11,14,19,14,12,23,23,14,12,16
Tax %,27%,18%,26%,29%,26%,23%,26%,27%,28%,26%,26%,22%,27%
Net Profit +,7,7,7,8,11,15,10,9,17,17,10,10,12
EPS in Rs,0.05,0.05,0.05,0.05,0.07,0.09,0.06,0.06,0.11,0.11,0.06,0.06,0.07
Raw PDF,,,,,,,,,,,,,
