,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"3,868","4,032","3,768","3,483","3,380","3,258","3,369","3,309","3,426","3,654","3,833","3,735","3,814"
Expenses +,"3,219","3,321","3,356","3,219","3,011","2,975","2,984","2,978","3,060","3,242","3,441","3,281","3,401"
Operating Profit,649,711,412,264,370,284,386,332,366,412,392,454,413
OPM %,17%,18%,11%,8%,11%,9%,11%,10%,11%,11%,10%,12%,11%
Other Income +,47,14,81,-70,-52,-362,20,-64,-319,-152,-73,65,129
Interest,98,105,105,133,130,135,132,140,128,162,178,174,184
Depreciation,140,144,146,144,166,160,164,166,165,173,173,172,176
Profit before tax,458,476,242,-83,22,-373,110,-39,-247,-76,-31,173,182
Tax %,23%,21%,21%,3%,96%,12%,42%,72%,10%,30%,108%,21%,7%
Net Profit +,351,375,191,-85,1,-416,63,-67,-271,-98,-65,137,169
EPS in Rs,48.51,51.86,26.41,-11.83,0.12,-57.63,8.77,-9.31,-37.51,-13.63,-8.95,18.95,23.34
Raw PDF,,,,,,,,,,,,,
