,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,392,360,324,405,454,347,319,319,404,364,354,381,392
Expenses +,346,331,297,368,412,318,287,281,330,306,320,343,336
Operating Profit,45,29,27,37,42,29,32,38,74,58,35,37,56
OPM %,12%,8%,8%,9%,9%,8%,10%,12%,18%,16%,10%,10%,14%
Other Income +,2,16,3,2,2,3,1,2,3,1,2,2,548
Interest,16,14,16,18,20,17,16,16,15,14,16,16,16
Depreciation,4,4,4,4,4,3,3,3,4,3,3,4,4
Profit before tax,27,27,9,17,20,11,14,20,58,42,18,20,584
Tax %,26%,24%,28%,24%,20%,25%,25%,25%,25%,26%,25%,26%,14%
Net Profit +,20,21,6,13,16,9,10,15,44,31,13,14,499
EPS in Rs,4.08,4.27,1.31,2.61,3.30,1.62,1.96,2.87,8.29,5.91,2.52,2.73,94.77
Raw PDF,,,,,,,,,,,,,
