,Mar 2008,Mar 2009,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,175,240,893,906,994,"1,073","1,194","1,363","1,420","1,504","1,801","1,966","1,914"
Expenses +,157,211,782,814,882,925,"1,006","1,207","1,268","1,333","1,679","1,804","1,713"
Operating Profit,18,28,111,92,112,148,188,156,153,171,122,163,201
OPM %,10%,12%,12%,10%,11%,14%,16%,11%,11%,11%,7%,8%,10%
Other Income +,2,1,0,0,7,3,1,3,-2,3,1,10,9
Interest,2,4,33,26,20,16,15,24,7,7,13,11,7
Depreciation,1,1,15,16,16,17,20,24,25,26,26,29,30
Profit before tax,17,24,64,50,82,118,153,111,120,141,84,132,174
Tax %,15%,14%,14%,21%,27%,29%,20%,22%,21%,24%,25%,23%,
Net Profit +,14,21,55,40,60,84,123,87,94,107,63,102,136
EPS in Rs,5.03,7.34,19.24,12.77,19.26,27.19,39.62,28.04,30.29,36.29,21.36,34.59,45.83
Dividend Payout %,13%,12%,0%,10%,7%,5%,3%,10%,4%,6%,14%,9%,
