,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,"2,351","2,272","2,228","2,436","2,778","2,763","2,753","2,935","3,106","2,808","2,560","2,930","3,581"
Expenses +,"1,967","1,866","1,923","2,189","2,428","2,355","2,286","2,310","2,546","2,321","2,276","2,438","2,816"
Operating Profit,384,406,305,247,350,408,467,625,560,486,284,492,765
OPM %,16%,18%,14%,10%,13%,15%,17%,21%,18%,17%,11%,17%,21%
Other Income +,42,15,22,19,38,17,29,38,55,45,140,45,46
Interest,73,65,67,79,101,109,115,114,115,110,123,112,113
Depreciation,91,106,106,118,132,135,141,140,153,147,146,146,162
Profit before tax,262,250,154,69,154,181,241,409,347,273,155,279,535
Tax %,24%,36%,28%,46%,31%,37%,27%,31%,37%,32%,12%,32%,32%
Net Profit +,199,161,111,37,107,113,176,284,220,185,136,190,361
EPS in Rs,26.03,21.06,14.54,5.05,14.17,14.84,22.69,36.73,28.44,23.98,16.28,24.54,46.64
Raw PDF,,,,,,,,,,,,,
