,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,277.82,324.25,288.59,292.70,252.77,275.92,252.73,326.62,324.00,341.18,350.31,267.28,241.86
Expenses +,251.53,319.39,256.66,272.00,230.76,252.75,228.18,297.56,300.44,308.10,318.59,247.16,235.58
Operating Profit,26.29,4.86,31.93,20.70,22.01,23.17,24.55,29.06,23.56,33.08,31.72,20.12,6.28
OPM %,9.46%,1.50%,11.06%,7.07%,8.71%,8.40%,9.71%,8.90%,7.27%,9.70%,9.05%,7.53%,2.60%
Other Income +,-3.11,42.94,0.39,5.13,8.56,-30.08,2.71,1.02,0.89,7.61,9.31,11.67,8.89
Interest,12.13,16.02,13.08,12.76,12.16,13.46,10.97,10.59,11.79,15.48,11.39,13.67,10.15
Depreciation,2.58,2.56,2.51,2.54,2.40,2.29,2.43,2.52,2.63,2.78,2.89,3.12,3.13
Profit before tax,8.47,29.22,16.73,10.53,16.01,-22.66,13.86,16.97,10.03,22.43,26.75,15.00,1.89
Tax %,31.40%,37.03%,29.83%,45.49%,-128.54%,40.91%,28.21%,29.29%,31.01%,-5.53%,24.34%,37.53%,40.74%
Net Profit +,5.80,18.40,11.73,5.74,36.59,-31.93,9.96,11.99,6.91,23.66,20.25,9.38,1.12
EPS in Rs,0.26,0.82,0.52,0.25,1.62,-1.42,0.44,0.53,0.31,1.05,0.90,0.42,0.05
Raw PDF,,,,,,,,,,,,,
