,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,711,713,813,859,872,"1,073","1,069"
Expenses +,526,515,567,596,613,878,864
Operating Profit,185,197,246,263,259,195,205
OPM %,26%,28%,30%,31%,30%,18%,19%
Other Income +,37,36,20,32,38,30,32
Interest,7,7,13,23,27,35,30
Depreciation,23,26,27,33,53,59,63
Profit before tax,191,200,226,239,217,131,144
Tax %,32%,21%,26%,26%,28%,30%,
Net Profit +,131,158,166,177,156,92,101
EPS in Rs,6.97,8.44,8.88,9.43,8.34,4.90,5.38
Dividend Payout %,31%,30%,31%,33%,40%,29%,
