,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,315,347,355,376,356,407,431,499,506,520,543,602,602
Expenses +,257,280,284,296,287,328,344,402,408,415,430,470,468
Operating Profit,58,68,71,80,69,78,87,97,98,104,113,131,134
OPM %,18%,20%,20%,21%,19%,19%,20%,19%,19%,20%,21%,22%,22%
Other Income +,29,7,13,16,18,10,10,10,27,25,29,21,19
Interest,2,2,3,3,3,3,6,5,5,4,4,3,2
Depreciation,9,9,13,14,14,14,18,18,20,19,25,26,27
Profit before tax,76,64,68,80,70,70,73,83,100,107,113,124,124
Tax %,10%,14%,13%,14%,11%,6%,9%,8%,13%,19%,19%,19%,17%
Net Profit +,69,55,59,69,62,66,67,77,87,87,92,100,103
EPS in Rs,5.14,4.09,4.40,5.18,4.68,4.97,5.01,5.48,6.24,6.18,6.56,7.13,7.34
Raw PDF,,,,,,,,,,,,,
