,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"1,624","1,457","1,549","1,989","2,346","2,811","2,981"
Expenses +,"1,332","1,230","1,275","1,653","1,959","2,330","2,467"
Operating Profit,292,227,274,336,387,482,514
OPM %,18%,16%,18%,17%,17%,17%,17%
Other Income +,3,16,23,15,10,2,11
Interest,54,61,50,53,64,79,83
Depreciation,76,94,102,120,130,149,167
Profit before tax,165,89,146,178,203,256,276
Tax %,41%,10%,25%,26%,27%,27%,
Net Profit +,98,80,110,132,148,188,204
EPS in Rs,20.50,17.11,23.01,25.01,27.62,34.65,36.14
Dividend Payout %,0%,0%,0%,8%,9%,9%,
