,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,695,748,706,669,695,588,636,527,472,720,594,463,505
Expenses +,583,629,616,581,616,525,565,481,423,665,551,415,447
Operating Profit,113,119,90,88,79,63,71,45,48,55,44,48,58
OPM %,16%,16%,13%,13%,11%,11%,11%,9%,10%,8%,7%,10%,12%
Other Income +,65,51,23,18,21,26,-123,35,112,27,-26,36,39
Interest,3,3,2,83,78,52,34,25,16,4,0,0,0
Depreciation,18,18,23,18,17,18,18,15,14,13,13,12,11
Profit before tax,157,149,87,5,5,18,-104,40,130,66,5,72,86
Tax %,32%,33%,34%,366%,465%,106%,4%,17%,29%,20%,383%,27%,
Net Profit +,107,100,52,-14,-18,-1,-108,34,93,53,-14,52,67
EPS in Rs,5.98,5.58,2.94,-0.79,-1.02,-0.11,-6.06,1.88,5.19,2.95,-0.76,2.94,3.73
Dividend Payout %,8%,9%,17%,-63%,-49%,-470%,-8%,27%,10%,17%,-66%,17%,
