,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,"1,187","1,351","1,185","1,336","1,364","1,139",968,797,761,633
Expenses +,121,175,647,108,243,289,209,127,144,32
Operating Profit,"1,066","1,176",538,"1,228","1,122",851,759,670,617,602
OPM %,90%,87%,45%,92%,82%,75%,78%,84%,81%,95%
Other Income +,-0,1,0,0,5,0,1,0,16,5
Interest,530,645,685,944,948,752,580,432,410,321
Depreciation,4,3,3,3,6,6,6,6,6,7
Profit before tax,531,529,-150,281,172,93,174,232,216,279
Tax %,26%,35%,-33%,34%,36%,73%,25%,24%,26%,22%
Net Profit +,391,345,-100,184,110,26,130,176,161,217
EPS in Rs,6.96,5.38,-1.56,2.87,1.71,0.40,2.02,2.74,2.50,3.38
Dividend Payout %,17%,28%,-13%,28%,26%,0%,0%,37%,0%,0%
