,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,461,462,480,659,952,914,"1,000"
Expenses +,380,382,380,556,797,731,810
Operating Profit,80,80,99,104,155,183,190
OPM %,17%,17%,21%,16%,16%,20%,19%
Other Income +,1,-14,1,8,1,6,7
Interest,11,11,6,8,8,2,4
Depreciation,18,21,23,23,20,22,24
Profit before tax,52,33,71,81,128,164,168
Tax %,25%,44%,22%,24%,25%,22%,
Net Profit +,39,19,55,61,96,128,130
EPS in Rs,23.82,11.03,32.61,35.93,56.63,75.78,76.62
Dividend Payout %,0%,0%,0%,7%,0%,3%,
