,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,138,119,101,96,99,73,163,179,219,257,259
Expenses +,115,99,83,82,84,59,128,137,161,184,190
Operating Profit,23,20,18,13,15,14,35,42,59,73,68
OPM %,17%,16%,17%,14%,15%,20%,21%,24%,27%,28%,26%
Other Income +,-2,1,-0,3,2,2,5,5,7,13,26
Interest,8,5,3,3,3,6,13,15,16,15,11
Depreciation,4,4,6,5,6,7,14,15,17,17,18
Profit before tax,9,11,8,8,8,2,12,17,34,54,65
Tax %,16%,46%,24%,24%,22%,29%,65%,25%,23%,22%,
Net Profit +,8,6,6,6,6,2,4,13,26,42,51
EPS in Rs,7.30,5.52,4.92,4.79,4.56,1.31,3.32,9.78,19.29,29.24,34.64
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
