,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,585,611,570,519,523,515,500,552,812,932,929,988,"1,015"
Expenses +,508,538,504,456,453,454,453,489,728,857,859,884,893
Operating Profit,77,72,65,63,70,60,47,62,84,75,70,104,123
OPM %,13%,12%,11%,12%,13%,12%,9%,11%,10%,8%,7%,11%,12%
Other Income +,3,2,13,9,7,8,9,8,6,8,13,13,20
Interest,9,6,6,6,7,6,6,5,20,19,18,19,21
Depreciation,18,17,17,19,19,19,21,22,27,28,29,30,42
Profit before tax,52,51,55,48,51,43,29,44,43,36,36,67,79
Tax %,-16%,22%,17%,15%,7%,25%,19%,30%,-3%,25%,21%,25%,33%
Net Profit +,61,39,46,41,47,33,24,30,44,27,28,50,53
EPS in Rs,10.33,6.51,7.56,6.70,7.79,5.37,3.91,5.02,6.99,3.82,3.94,7.04,7.40
Raw PDF,,,,,,,,,,,,,
