,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,722","2,226","2,053","1,795","1,803","2,305","2,092","1,911","2,047","2,600","2,168","1,427","1,470"
Expenses +,"1,396","1,746","1,535","1,469","1,459","1,894","1,655","1,512","1,615","1,864","1,199","1,071","1,091"
Operating Profit,325,480,518,326,345,411,436,400,432,736,969,356,379
OPM %,19%,22%,25%,18%,19%,18%,21%,21%,21%,28%,45%,25%,26%
Other Income +,18,19,13,24,20,24,20,21,17,24,30,37,42
Interest,103,112,107,108,122,133,147,161,169,183,190,204,224
Depreciation,116,79,104,48,44,57,48,41,44,44,40,40,74
Profit before tax,124,309,321,194,198,244,262,219,235,533,768,149,124
Tax %,37%,17%,25%,32%,30%,40%,31%,32%,21%,26%,25%,44%,34%
Net Profit +,83,247,241,132,140,146,181,148,185,396,575,83,81
EPS in Rs,3.23,9.64,9.38,5.15,5.45,5.69,7.04,5.77,7.21,15.43,22.42,3.25,3.17
Raw PDF,,,,,,,,,,,,,
