,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,82,29,60,37,32,33,32,35,31,32,30,41
Expenses +,73,32,57,29,24,19,19,20,15,13,11,15
Operating Profit,9,-3,3,8,7,14,14,15,16,19,19,26
OPM %,11%,-10%,5%,21%,23%,42%,42%,42%,52%,59%,63%,64%
Other Income +,1,3,2,2,1,1,0,0,-4,1,1,2
Interest,6,7,6,6,5,5,4,3,1,1,0,0
Depreciation,5,3,3,3,3,3,4,4,3,3,4,4
Profit before tax,-1,-10,-4,1,0,7,6,8,8,16,16,23
Tax %,49%,-54%,0%,7%,44%,21%,4%,25%,32%,31%,28%,23%
Net Profit +,-1,-5,-4,1,0,5,6,6,5,11,11,18
EPS in Rs,-0.49,-1.92,-1.73,0.29,0.06,2.07,2.35,2.50,2.20,4.41,4.36,7.09
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,23%,91%,92%,21%
