,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,866,940,897,865,986,930,999,"1,006","1,044","1,088","1,167","1,154","1,190"
Expenses +,868,936,844,892,871,796,889,876,874,882,983,943,973
Operating Profit,-1,4,53,-27,115,134,111,129,169,205,184,210,218
OPM %,-0%,0%,6%,-3%,12%,14%,11%,13%,16%,19%,16%,18%,18%
Other Income +,9,-52,57,68,20,3,-129,60,-27,9,25,4,-12
Interest,49,55,68,58,81,76,79,70,71,80,74,52,50
Depreciation,61,60,62,60,61,60,60,49,48,49,48,48,49
Profit before tax,-103,-163,-20,-78,-7,0,-157,70,23,85,86,114,106
Tax %,-128%,-17%,-197%,5%,106%,"3,025%",-5%,23%,55%,20%,16%,21%,20%
Net Profit +,29,-135,19,-82,-14,-9,-149,54,10,68,72,90,86
EPS in Rs,3.25,-15.13,2.53,-8.86,-1.06,-0.79,-14.54,5.40,1.98,7.64,7.81,9.54,8.91
Raw PDF,,,,,,,,,,,,,
