,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Sales +,16,11,15,19,19,21,30,38,42,44,72,88,105
Expenses +,21,8,12,14,14,15,24,31,35,36,62,72,86
Operating Profit,-5,3,4,5,4,5,6,7,7,8,10,16,19
OPM %,-30%,28%,24%,25%,22%,26%,19%,18%,17%,18%,14%,18%,18%
Other Income +,0,0,0,0,0,0,0,0,1,0,2,1,1
Interest,1,1,1,2,1,2,2,1,2,1,2,1,2
Depreciation,1,1,1,1,1,1,1,1,1,2,2,2,2
Profit before tax,-8,1,1,2,2,2,3,4,5,5,8,14,17
Tax %,3%,33%,20%,17%,14%,16%,17%,15%,11%,9%,9%,9%,9%
Net Profit +,-8,0,1,1,1,2,2,4,4,5,8,12,16
EPS in Rs,-0.75,0.03,0.08,0.12,0.13,0.16,0.23,0.34,0.41,0.37,0.61,1.01,1.24
Raw PDF,,,,,,,,,,,,,
