,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,10,9,9,17,38,63,68,100,143,138,220,408
Expenses +,9,8,9,16,35,58,63,93,134,130,201,371
Operating Profit,0,0,1,1,3,5,5,7,9,8,19,37
OPM %,4%,4%,6%,5%,8%,8%,7%,7%,6%,5%,9%,9%
Other Income +,0,0,0,0,0,0,0,0,1,1,1,2
Interest,0,0,0,0,0,0,1,1,2,3,4,9
Depreciation,0,0,0,0,0,0,0,0,1,1,1,3
Profit before tax,0,0,0,0,3,5,4,6,8,4,15,28
Tax %,31%,17%,31%,31%,27%,31%,30%,26%,28%,27%,26%,27%
Net Profit +,0,0,0,0,2,3,3,4,5,3,11,20
EPS in Rs,0.61,0.28,0.61,1.39,1.37,2.12,2.05,3.02,3.73,2.18,7.50,13.23
Dividend Payout %,20%,44%,0%,0%,0%,59%,0%,0%,0%,0%,0%,6%
