,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,521,"1,387","1,322","1,617","1,268","1,444","1,289","1,284"
Expenses +,464,"1,174","1,062","1,231","1,188","1,309","1,384","1,077"
Operating Profit,57,213,260,386,81,134,-95,206
OPM %,11%,15%,20%,24%,6%,9%,-7%,16%
Other Income +,2,12,27,29,16,22,-185,8
Interest,25,82,78,84,75,90,105,115
Depreciation,34,83,94,109,112,111,103,99
Profit before tax,0,60,115,222,-91,-45,-488,1
Tax %,-70%,1%,0%,0%,-36%,-50%,16%,0%
Net Profit +,0,59,115,221,-58,-22,-567,1
EPS in Rs,,17.30,32.01,46.22,-12.11,-4.62,-118.21,0.15
Dividend Payout %,0%,22%,5%,11%,0%,-49%,0%,0%
