,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales +,559,300,375,455,608,798,773,419,616,964,925,730
Expenses +,408,233,244,293,360,482,486,397,477,598,619,543
Operating Profit,151,67,131,161,247,315,288,22,139,366,306,186
OPM %,27%,22%,35%,36%,41%,40%,37%,5%,23%,38%,33%,26%
Other Income +,16,2,2,9,29,35,33,27,30,46,107,202
Interest,33,51,41,35,10,2,16,14,16,24,23,6
Depreciation,17,35,36,36,37,38,49,53,56,59,64,50
Profit before tax,117,-17,56,99,228,311,256,-18,98,329,326,333
Tax %,44%,64%,36%,28%,32%,37%,28%,42%,30%,20%,25%,25%
Net Profit +,64,-28,36,71,155,196,185,-26,68,262,245,249
EPS in Rs,1.55,-0.99,1.66,3.18,5.81,7.26,6.85,-0.90,2.51,9.77,9.12,9.30
Dividend Payout %,16%,-232%,12%,11%,17%,9%,22%,-111%,50%,13%,14%,13%
