,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Sales +,"1,286","1,600","1,654","1,374","1,562","1,862","1,730","1,575","1,703","1,781","1,564","1,234","1,497"
Expenses +,"1,112","1,275","1,397","1,210","1,376","1,629","1,534","1,357","1,401","1,445","1,342","1,153","1,297"
Operating Profit,174,325,257,164,185,233,196,217,302,336,222,81,199
OPM %,14%,20%,16%,12%,12%,12%,11%,14%,18%,19%,14%,7%,13%
Other Income +,18,-11,7,20,14,17,11,14,26,26,16,8,9
Interest,37,33,36,33,35,29,33,34,39,45,48,43,45
Depreciation,55,59,56,57,57,59,56,57,66,68,72,75,76
Profit before tax,100,221,172,93,107,162,119,141,223,250,118,-29,87
Tax %,34%,15%,33%,34%,28%,29%,33%,32%,33%,35%,43%,-33%,31%
Net Profit +,66,188,115,62,77,115,80,96,150,162,68,-19,60
EPS in Rs,5.45,15.61,9.45,5.19,6.49,9.35,6.67,7.88,12.21,13.34,5.97,-1.19,5.05
Raw PDF,,,,,,,,,,,,,
