,"Mar 2013
            
              8m",Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,18,214,556,853,"1,155","1,341","1,797","1,529",880,"1,340","1,799","1,932","2,277"
Expenses +,21,200,493,739,952,"1,137","1,545","1,272",743,"1,122","1,441","1,598","1,875"
Operating Profit,-3,15,63,115,203,204,251,257,136,218,357,334,402
OPM %,-17%,7%,11%,13%,18%,15%,14%,17%,15%,16%,20%,17%,18%
Other Income +,1,2,7,7,11,25,36,25,29,13,4,30,48
Interest,1,4,15,32,42,40,49,65,70,67,89,96,92
Depreciation,0,2,9,16,65,67,89,114,90,99,136,101,92
Profit before tax,-3,11,46,74,106,122,149,103,5,65,136,167,267
Tax %,18%,62%,31%,34%,35%,35%,35%,12%,66%,27%,30%,28%,
Net Profit +,-4,4,32,49,69,80,97,91,2,48,95,120,202
EPS in Rs,-12.10,10.21,64.85,84.84,17.16,11.72,14.33,13.41,0.23,7.03,14.04,14.22,23.85
Dividend Payout %,0%,0%,0%,3%,3%,9%,7%,0%,0%,0%,0%,0%,
