,Sep 2012,"Mar 2014
            
              18m",Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales +,"4,344","6,645","4,535","4,690","4,399","5,847","6,806","6,669","6,666","5,576","6,338","6,104","5,891"
Expenses +,"3,885","6,742","4,704","3,906","3,548","5,575","6,510","6,216","6,503","5,403","6,075","5,855","5,717"
Operating Profit,459,-97,-168,785,851,272,297,454,163,172,263,249,174
OPM %,11%,-1%,-4%,17%,19%,5%,4%,7%,2%,3%,4%,4%,3%
Other Income +,202,96,124,90,96,101,96,11,22,25,22,40,2
Interest,667,"1,129",889,848,802,680,322,301,264,254,210,162,116
Depreciation,362,556,258,242,243,197,204,216,216,215,213,222,218
Profit before tax,-368,"-1,686","-1,191",-216,-98,-505,-134,-52,-294,-272,-138,-95,-157
Tax %,-25%,1%,0%,-2%,-6%,-1%,2%,-5%,-1%,-1%,-2%,-9%,
Net Profit +,-321,"-1,626","-1,192",-212,-92,-500,-137,-50,-291,-268,-135,-87,-154
EPS in Rs,-5.01,-25.41,-14.72,-1.90,-0.81,-4.41,-1.20,-0.44,-2.57,-2.09,-1.05,-0.68,-1.20
Dividend Payout %,-2%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
